State,District,Crop,Season,Area,Production,Yield,Risk
Madhya Pradesh,Harda,Rice,Total,0.03,0.07,2301.0,Low
Jharkhand,Ramgarh,Shree Anna /Nutri Cereals,Total,0.01,0.0,645.0,High
Karnataka,Vijayapura,Bajra,Total,0.18,0.2,1162.0,Medium
Karnataka,Raichur,Total Food Grains,Summer,0.04,0.11,2605.0,Low
Karnataka,Yadgir,Total Food Grains,Rabi,0.23,0.38,1631.0,Medium
Madhya Pradesh,Seoni,Tur,Kharif,0.01,0.01,908.0,Medium
Andhra Pradesh,Anantapur,Small Millets,Total,0.09,0.09,899.0,Medium
Madhya Pradesh,Chhindwara,Bajra,Total,0.0,0.0,1000.0,Medium
Himachal Pradesh,Kinnaur,Total Food Grains,Total,0.01,0.02,2009.0,Low
Maharashtra,Nanded,Urad,Total,0.15,0.09,611.0,High
Maharashtra,Nagpur,Total Food Grains,Summer,0.02,0.04,2041.0,Low
Andhra Pradesh,Krishna,Cereals,Kharif,1.54,5.85,3803.0,Low
Uttarakhand,Chamoli,Shree Anna /Nutri Cereals,Total,0.15,0.25,1611.0,Medium
Himachal Pradesh,Kangra,Nutri/Coarse Cereals,Total,0.46,1.05,2296.0,Low
Telangana,Mancherial,Other Pulses,Rabi,0.0,0.0,1535.0,Medium
Madhya Pradesh,Burhanpur,Bajra,Total,0.0,0.0,1200.0,Medium
Maharashtra,Wardha,Total Food Grains,Total,1.84,2.79,1517.0,Medium
Bihar,Kaimur (Bhabua),Gram,Total,0.01,0.01,943.0,Medium
Punjab,Barnala,Rice,Total,1.15,5.62,4909.0,Low
Madhya Pradesh,Bhopal,Gram,Rabi,0.02,0.02,1248.0,Medium
Tripura,Khowai,Nutri/Coarse Cereals,Total,0.01,0.02,1917.0,Low
Arunachal Pradesh,Dibang Valley,Tur,Total,0.0,0.0,667.0,High
Uttarakhand,Bageshwar,Barley,Rabi,0.01,0.01,1224.0,Medium
Telangana,Jayashankar Bhupalapally,Nutri/Coarse Cereals,Rabi,0.11,0.65,5958.0,Low
Karnataka,Shivamogga,Rice,Total,0.68,1.95,2882.0,Low
Bihar,Madhepura,Ragi,Kharif,0.0,0.0,895.0,Medium
Madhya Pradesh,Neemuch,Shree Anna /Nutri Cereals,Kharif,0.0,0.01,1116.0,Medium
Telangana,Jayashankar Bhupalapally,Maize,Total,0.11,0.66,5952.0,Low
Karnataka,Koppal,Maize,Kharif,1.16,2.65,2278.0,Low
Arunachal Pradesh,Lower Dibang Valley,Rice,Rabi,0.0,0.0,417.0,High
Bihar,Darbhanga,Total Food Grains,Total,1.67,3.95,2367.0,Low
Maharashtra,Jalgaon,Urad,Kharif,0.15,0.07,483.0,High
Karnataka,Haveri,Cereals,Total,4.15,9.89,2384.0,Low
Arunachal Pradesh,Pakke Kessang,Urad,Kharif,0.0,0.0,926.0,Medium
Karnataka,Dharwad,Other Pulses,Total,0.04,0.02,588.0,High
Karnataka,Kolar,Urad,Total,0.0,0.0,590.0,High
Maharashtra,Aurangabad,Wheat,Total,0.88,2.72,3105.0,Low
Arunachal Pradesh,Siang,Shree Anna /Nutri Cereals,Total,0.02,0.02,1068.0,Medium
Uttarakhand,Chamoli,Urad,Total,0.01,0.0,815.0,High
Rajasthan,Udaipur,Shree Anna /Nutri Cereals,Kharif,0.07,0.09,1261.0,Medium
Rajasthan,Karauli,Maize,Total,0.0,,,Low
Uttarakhand,Almora,Nutri/Coarse Cereals,Kharif,0.32,0.38,1211.0,Medium
Rajasthan,Udaipur,Other Pulses,Rabi,0.0,0.0,2863.0,Low
Andhra Pradesh,Spsr Nellore,Bajra,Summer,0.0,0.0,2551.0,Low
Madhya Pradesh,Agar Malwa,Moong,Total,0.0,0.0,658.0,High
Rajasthan,Dausa,Jowar,Total,0.03,0.02,811.0,High
Karnataka,Kolar,Shree Anna /Nutri Cereals,Kharif,0.55,1.02,1842.0,Medium
Telangana,Jagitial,Total Pulses,Total,0.01,0.01,1105.0,Medium
Maharashtra,Bhandara,Jowar,Rabi,0.0,0.0,398.0,High
Karnataka,Gadag,Shree Anna /Nutri Cereals,Rabi,0.24,0.19,788.0,High
Karnataka,Kalaburagi,Moong,Total,0.47,0.26,557.0,High
Madhya Pradesh,Neemuch,Maize,Total,0.18,0.57,3156.0,Low
Arunachal Pradesh,East Kameng,Total Food Grains,Rabi,0.01,0.01,1440.0,Medium
Madhya Pradesh,Dhar,Moong,Summer,0.04,0.03,782.0,High
Bihar,Madhubani,Ragi,Kharif,0.0,0.0,859.0,High
Telangana,Suryapet,Maize,Rabi,0.01,0.04,6465.0,Low
Himachal Pradesh,Kullu,Ragi,Total,0.0,0.0,823.0,High
Arunachal Pradesh,East Siang,Other Pulses,Rabi,0.0,0.0,1214.0,Medium
Karnataka,Ramanagara,Bajra,Total,0.0,0.0,1290.0,Medium
Maharashtra,Ahmednagar,Urad,Summer,0.0,0.0,539.0,High
Rajasthan,Bikaner,Wheat,Rabi,1.16,3.81,3288.0,Low
Andhra Pradesh,Krishna,Total Pulses,Total,1.22,2.1,1725.0,Medium
Maharashtra,Dhule,Small Millets,Kharif,0.02,0.02,990.0,Medium
Madhya Pradesh,Agar Malwa,Rice,Kharif,0.01,0.01,1736.0,Medium
Madhya Pradesh,Dewas,Total Food Grains,Summer,0.62,0.69,1117.0,Medium
Bihar,Bhojpur,Other Pulses,Total,0.01,0.01,833.0,High
Himachal Pradesh,Kangra,Rice,Kharif,0.33,0.69,2083.0,Low
Bihar,Khagaria,Rice,Total,0.18,0.46,2611.0,Low
Rajasthan,Kotputli-Behror,Other Pulses,Total,0.02,0.04,2019.0,Low
Maharashtra,Amravati,Wheat,Rabi,0.52,0.84,1603.0,Medium
Uttarakhand,Dehradun,Rice,Total,0.08,0.21,2847.0,Low
Andhra Pradesh,Chittoor,Jowar,Total,0.0,0.0,621.0,High
Rajasthan,Chittorgarh,Tur,Total,0.0,0.0,500.0,High
Jharkhand,Deoghar,Jowar,Kharif,0.0,0.0,700.0,High
Madhya Pradesh,Rewa,Maize,Total,0.0,0.0,2418.0,Low
Madhya Pradesh,Hoshangabad,Shree Anna /Nutri Cereals,Total,0.0,0.0,1690.0,Medium
Uttarakhand,Bageshwar,Urad,Kharif,0.0,0.0,1145.0,Medium
Andhra Pradesh,Ntr,Tur,Kharif,0.01,0.01,1084.0,Medium
Karnataka,Koppal,Moong,Kharif,0.49,0.1,199.0,High
Andhra Pradesh,Srikakulam,Moong,Total,0.1,0.06,607.0,High
Andhra Pradesh,Sri Sathya Sai,Bajra,Kharif,0.01,0.02,1442.0,Medium
Madhya Pradesh,Betul,Barley,Total,0.0,0.0,1522.0,Medium
Maharashtra,Nashik,Nutri/Coarse Cereals,Rabi,0.16,0.43,2728.0,Low
Bihar,Begusarai,Moong,Summer,0.0,0.0,380.0,High
Rajasthan,Sikar,Cereals,Rabi,1.11,3.46,3132.0,Low
Uttarakhand,Champawat,Barley,Rabi,0.01,0.01,1661.0,Medium
Rajasthan,Sikar,Wheat,Total,0.83,2.48,2987.0,Low
Telangana,Nalgonda,Maize,Rabi,0.0,0.02,6465.0,Low
Bihar,Buxar,Total Pulses,Total,0.05,0.05,981.0,Medium
Bihar,Khagaria,Lentil,Total,0.0,0.0,902.0,Medium
Rajasthan,Sirohi,Total Food Grains,Rabi,0.42,1.39,3311.0,Low
Maharashtra,Nanded,Nutri/Coarse Cereals,Kharif,0.1,0.06,624.0,High
Madhya Pradesh,Narsinghpur,Jowar,Total,0.0,0.0,1943.0,Low
Himachal Pradesh,Mandi,Gram,Total,0.0,0.0,642.0,High
Telangana,Adilabad,Jowar,Rabi,0.46,0.97,2108.0,Low
Madhya Pradesh,Singrauli,Wheat,Total,0.55,1.43,2625.0,Low
Maharashtra,Latur,Urad,Kharif,0.05,0.05,944.0,Medium
Telangana,Jogulamba Gadwal,Rice,Total,0.67,2.08,3080.0,Low
Maharashtra,Jalna,Wheat,Rabi,0.58,1.09,1868.0,Low
Karnataka,Ramanagara,Nutri/Coarse Cereals,Kharif,0.66,1.08,1636.0,Medium
Madhya Pradesh,Rajgarh,Wheat,Rabi,3.13,10.77,3443.0,Low
Karnataka,Bagalkote,Other Pulses,Total,0.03,0.01,385.0,High
Punjab,Fatehgarh Sahib,Barley,Total,0.0,0.01,3559.0,Low
Karnataka,Haveri,Jowar,Kharif,0.0,0.0,1982.0,Low
Madhya Pradesh,Hoshangabad,Total Food Grains,Total,8.29,19.51,2352.0,Low
Rajasthan,Pali,Moong,Kharif,1.82,0.56,307.0,High
Andhra Pradesh,East Godavari,Rice,Kharif,0.74,2.7,3656.0,Low
Rajasthan,Banswara,Urad,Summer,0.0,0.0,2000.0,Low
Telangana,Siddipet,Nutri/Coarse Cereals,Rabi,0.13,0.77,6011.0,Low
Telangana,Bhadradri Kothagudem,Rice,Kharif,0.61,2.2,3581.0,Low
Rajasthan,Dungarpur,Total Pulses,Total,0.14,0.15,1095.0,Medium
Maharashtra,Hingoli,Maize,Kharif,0.0,0.0,704.0,High
Jharkhand,Bokaro,Urad,Total,0.02,0.03,1197.0,Medium
Andhra Pradesh,Spsr Nellore,Urad,Total,0.04,0.03,711.0,High
Bihar,Supaul,Total Food Grains,Total,2.19,5.99,2734.0,Low
Andhra Pradesh,Nandyal,Other Pulses,Rabi,0.0,0.0,633.0,High
Telangana,Karimnagar,Gram,Total,0.0,0.0,1762.0,Medium
Karnataka,Raichur,Small Millets,Kharif,0.01,0.01,426.0,High
Bihar,Muzaffarpur,Maize,Kharif,0.11,0.28,2471.0,Low
Andhra Pradesh,Visakhapatanam,Moong,Total,0.0,0.0,902.0,Medium
Bihar,Kaimur (Bhabua),Lentil,Total,0.01,0.01,633.0,High
Karnataka,Udupi,Cereals,Rabi,0.03,0.08,2619.0,Low
Andhra Pradesh,Kakinada,Cereals,Rabi,0.66,3.72,5604.0,Low
Telangana,Kumuram Bheem Asifabad,Rice,Total,0.3,0.91,3075.0,Low
Karnataka,Koppal,Nutri/Coarse Cereals,Total,2.15,4.2,1953.0,Low
Madhya Pradesh,Sagar,Urad,Total,0.45,0.22,495.0,High
Karnataka,Koppal,Jowar,Rabi,0.16,0.09,598.0,High
Jharkhand,Khunti,Ragi,Kharif,0.02,0.02,900.0,Medium
Jharkhand,Gumla,Wheat,Rabi,0.1,0.33,3288.0,Low
Uttarakhand,Pithoragarh,Gram,Rabi,0.0,0.0,723.0,High
Rajasthan,Bundi,Barley,Rabi,0.02,0.08,3711.0,Low
Jharkhand,Khunti,Total Food Grains,Kharif,0.81,1.41,1735.0,Medium
Arunachal Pradesh,Changlang,Cereals,Kharif,0.13,0.25,1977.0,Low
Jharkhand,Sahebganj,Rice,Total,0.39,0.8,2060.0,Low
Madhya Pradesh,Hoshangabad,Moong,Summer,2.98,3.99,1340.0,Medium
Arunachal Pradesh,Kurung Kumey,Urad,Kharif,0.0,0.0,917.0,Medium
Uttarakhand,Almora,Cereals,Total,0.56,0.72,1291.0,Medium
Andhra Pradesh,Palnadu,Jowar,Kharif,0.0,0.0,437.0,High
Karnataka,Chikkamagaluru,Bajra,Kharif,0.0,0.0,1290.0,Medium
Jharkhand,Saraikela Kharsawan,Wheat,Total,0.05,0.07,1255.0,Medium
Himachal Pradesh,Shimla,Urad,Total,0.0,0.0,777.0,High
Madhya Pradesh,Sehore,Cereals,Total,3.51,11.94,3403.0,Low
Madhya Pradesh,Bhind,Shree Anna /Nutri Cereals,Total,0.67,1.73,2604.0,Low
Madhya Pradesh,Katni,Other Pulses,Rabi,0.01,0.01,1106.0,Medium
Rajasthan,Pali,Shree Anna /Nutri Cereals,Kharif,0.66,0.45,687.0,High
Rajasthan,Rajsamand,Moong,Summer,0.0,0.0,2001.0,Low
Karnataka,Kalaburagi,Rice,Kharif,0.08,0.21,2563.0,Low
Madhya Pradesh,Agar Malwa,Jowar,Kharif,0.0,0.0,1611.0,Medium
Madhya Pradesh,Barwani,Urad,Total,0.02,0.01,764.0,High
Madhya Pradesh,Datia,Wheat,Rabi,1.46,4.25,2907.0,Low
Maharashtra,Nandurbar,Shree Anna /Nutri Cereals,Kharif,0.33,0.4,1228.0,Medium
Himachal Pradesh,Una,Gram,Total,0.0,0.0,2129.0,Low
Rajasthan,Barmer,Nutri/Coarse Cereals,Summer,0.04,0.04,1000.0,Medium
Maharashtra,Ratnagiri,Rice,Kharif,0.41,1.09,2664.0,Low
Andhra Pradesh,Spsr Nellore,Cereals,Rabi,1.27,5.36,4236.0,Low
Bihar,Munger,Cereals,Total,0.42,1.25,2996.0,Low
Karnataka,Dharwad,Cereals,Kharif,0.65,1.79,2755.0,Low
Himachal Pradesh,Mandi,Bajra,Total,0.0,0.0,429.0,High
Arunachal Pradesh,Changlang,Rice,Kharif,0.1,0.22,2249.0,Low
Punjab,Pathankot,Rice,Total,0.27,1.0,3648.0,Low
Madhya Pradesh,Anuppur,Other Pulses,Total,0.13,0.08,670.0,High
Telangana,Warangal,Jowar,Total,0.0,0.0,917.0,Medium
Jharkhand,Pakur,Total Food Grains,Total,0.8,0.97,1203.0,Medium
Andhra Pradesh,Anantapur,Shree Anna /Nutri Cereals,Total,0.21,0.2,962.0,Medium
Karnataka,Uttara Kannada,Shree Anna /Nutri Cereals,Rabi,0.0,0.0,1113.0,Medium
Bihar,Katihar,Barley,Total,0.0,0.0,1881.0,Low
Rajasthan,Didwana Kuchaman,Jowar,Kharif,0.05,0.04,811.0,High
Madhya Pradesh,East Nimar,Urad,Summer,0.0,0.0,0.0,High
Maharashtra,Gadchiroli,Maize,Summer,0.01,0.02,1550.0,Medium
Maharashtra,Gondia,Nutri/Coarse Cereals,Kharif,0.0,0.0,5899.0,Low
Andhra Pradesh,East Godavari,Maize,Rabi,0.07,0.76,10422.0,Low
Himachal Pradesh,Kangra,Rice,Total,0.33,0.69,2083.0,Low
Karnataka,Ramanagara,Cereals,Rabi,0.01,0.02,2526.0,Low
Maharashtra,Kolhapur,Total Food Grains,Kharif,1.11,3.8,3420.0,Low
Rajasthan,Deeg,Tur,Total,0.0,,,Low
Jharkhand,Bokaro,Moong,Kharif,0.01,0.01,1300.0,Medium
Andhra Pradesh,Kurnool,Cereals,Rabi,0.22,0.7,3164.0,Low
Karnataka,Hassan,Tur,Total,0.0,0.0,502.0,High
Madhya Pradesh,Ashoknagar,Nutri/Coarse Cereals,Rabi,0.0,0.0,1771.0,Medium
Himachal Pradesh,Solan,Shree Anna /Nutri Cereals,Total,0.0,0.0,575.0,High
Bihar,Jehanabad,Cereals,Rabi,0.34,0.97,2850.0,Low
Rajasthan,Udaipur,Nutri/Coarse Cereals,Rabi,0.07,0.2,2769.0,Low
Rajasthan,Tonk,Lentil,Rabi,0.0,0.0,1070.0,Medium
Himachal Pradesh,Kinnaur,Rice,Total,0.0,0.0,2083.0,Low
Maharashtra,Nandurbar,Bajra,Summer,0.01,0.01,910.0,Medium
Bihar,Rohtas,Total Food Grains,Total,4.55,15.79,3469.0,Low
Bihar,Munger,Nutri/Coarse Cereals,Kharif,0.01,0.01,1378.0,Medium
Maharashtra,Nandurbar,Ragi,Total,0.0,0.0,769.0,High
Madhya Pradesh,Umaria,Gram,Rabi,0.06,0.08,1292.0,Medium
Maharashtra,Pune,Gram,Rabi,0.28,0.29,1056.0,Medium
Arunachal Pradesh,Kurung Kumey,Shree Anna /Nutri Cereals,Kharif,0.0,0.0,963.0,Medium
Jharkhand,Latehar,Lentil,Rabi,0.05,0.03,555.0,High
Karnataka,Haveri,Shree Anna /Nutri Cereals,Total,0.69,0.59,852.0,High
Andhra Pradesh,Anantapur,Ragi,Kharif,0.0,0.0,1339.0,Medium
Bihar,Siwan,Total Food Grains,Summer,0.03,0.08,2886.0,Low
Telangana,Medchal Malkajgiri,Small Millets,Kharif,0.0,0.0,1881.0,Low
Andhra Pradesh,Vizianagaram,Urad,Rabi,0.17,0.11,653.0,High
Maharashtra,Beed,Small Millets,Total,0.02,0.01,430.0,High
Madhya Pradesh,Khargone,Maize,Kharif,0.66,2.15,3261.0,Low
Madhya Pradesh,Vidisha,Bajra,Total,0.0,0.0,1846.0,Medium
Arunachal Pradesh,Papum Pare,Total Food Grains,Rabi,0.01,0.02,1818.0,Medium
Telangana,Yadadri Bhuvanagiri,Urad,Kharif,0.0,0.0,790.0,High
Karnataka,Uttara Kannada,Maize,Rabi,0.03,0.1,3584.0,Low
Maharashtra,Chandrapur,Shree Anna /Nutri Cereals,Rabi,0.04,0.03,600.0,High
Andhra Pradesh,Kurnool,Urad,Kharif,0.0,0.0,771.0,High
Jharkhand,Ranchi,Other Pulses,Total,0.2,0.23,1171.0,Medium
Jharkhand,Khunti,Rice,Total,0.54,1.13,2096.0,Low
Rajasthan,Bhilwara,Bajra,Kharif,0.03,0.03,1144.0,Medium
Jharkhand,Latehar,Tur,Total,0.24,0.37,1550.0,Medium
Bihar,Sheikhpura,Total Pulses,Total,0.05,0.06,1257.0,Medium
Madhya Pradesh,Sehore,Maize,Rabi,0.02,0.07,3469.0,Low
Telangana,Khammam,Urad,Total,0.0,0.0,1123.0,Medium
Madhya Pradesh,Agar Malwa,Maize,Summer,0.0,0.0,4710.0,Low
Maharashtra,Amravati,Wheat,Total,0.52,0.84,1603.0,Medium
Andhra Pradesh,Palnadu,Total Pulses,Total,0.41,0.59,1444.0,Medium
Karnataka,Kodagu,Shree Anna /Nutri Cereals,Total,0.01,0.02,1979.0,Low
Maharashtra,Thane,Cereals,Summer,0.0,0.0,2227.0,Low
Punjab,Mansa,Moong,Kharif,0.0,0.0,582.0,High
Punjab,Bathinda,Cereals,Kharif,2.17,9.81,4530.0,Low
Karnataka,Tumakuru,Urad,Kharif,0.0,0.0,508.0,High
Rajasthan,Dausa,Nutri/Coarse Cereals,Kharif,1.63,3.31,2034.0,Low
Bihar,Madhepura,Total Food Grains,Summer,0.34,1.5,4414.0,Low
Jharkhand,Lohardaga,Maize,Kharif,0.05,0.28,5238.0,Low
Rajasthan,Pratapgarh,Barley,Total,0.01,0.02,3711.0,Low
Andhra Pradesh,Krishna,Moong,Rabi,0.03,0.04,1310.0,Medium
Andhra Pradesh,Krishna,Nutri/Coarse Cereals,Total,0.07,0.53,7473.0,Low
Jharkhand,Simdega,Gram,Rabi,0.18,0.22,1200.0,Medium
Bihar,Gaya,Other Pulses,Rabi,0.01,0.01,1071.0,Medium
Bihar,Sheohar,Tur,Kharif,0.0,0.0,1742.0,Medium
Punjab,Sri Muktsar Sahib,Rice,Kharif,2.02,8.41,4173.0,Low
Andhra Pradesh,Bapatla,Maize,Total,0.26,2.21,8476.0,Low
Telangana,Mahabubnagar,Shree Anna /Nutri Cereals,Rabi,0.0,0.01,1192.0,Medium
Jharkhand,Ranchi,Maize,Rabi,0.02,0.06,2800.0,Low
Maharashtra,Jalna,Total Food Grains,Rabi,2.63,3.85,1462.0,Medium
Punjab,Shahid Bhagat Singh Nagar,Wheat,Rabi,0.78,3.9,5019.0,Low
Himachal Pradesh,Chamba,Total Food Grains,Rabi,0.24,0.41,1750.0,Medium
Rajasthan,Kota,Wheat,Total,1.31,4.91,3749.0,Low
Jharkhand,Godda,Total Food Grains,Total,1.01,1.89,1876.0,Low
Bihar,Begusarai,Nutri/Coarse Cereals,Summer,0.01,0.06,4412.0,Low
Rajasthan,Deeg,Jowar,Kharif,0.5,0.71,1421.0,Medium
Arunachal Pradesh,Lower Siang,Lentil,Rabi,0.0,0.0,1382.0,Medium
Rajasthan,Beawar,Small Millets,Kharif,0.0,0.0,2710.0,Low
Maharashtra,Sangli,Rice,Kharif,0.12,0.28,2267.0,Low
Andhra Pradesh,Sri Sathya Sai,Total Food Grains,Total,0.98,1.74,1774.0,Medium
Bihar,Sheohar,Other Pulses,Rabi,0.0,0.0,1251.0,Medium
Telangana,Kamareddy,Gram,Rabi,0.15,0.27,1754.0,Medium
Andhra Pradesh,Spsr Nellore,Other Pulses,Rabi,0.0,0.01,1123.0,Medium
Himachal Pradesh,Shimla,Cereals,Kharif,0.05,0.18,3763.0,Low
Karnataka,Belagavi,Rice,Rabi,0.0,0.0,2842.0,Low
Rajasthan,Bikaner,Bajra,Total,0.98,0.52,532.0,High
Karnataka,Tumakuru,Cereals,Rabi,0.01,0.04,3799.0,Low
Punjab,Rupnagar,Gram,Total,0.0,0.0,1003.0,Medium
Bihar,Supaul,Rice,Kharif,1.07,2.4,2249.0,Low
Telangana,Vikarabad,Bajra,Kharif,0.0,0.0,1015.0,Medium
Jharkhand,East Singhbum,Shree Anna /Nutri Cereals,Total,0.0,0.0,904.0,Medium
Jharkhand,Jamtara,Nutri/Coarse Cereals,Total,0.16,0.3,1870.0,Low
Tripura,South Tripura,Cereals,Rabi,0.14,0.5,3654.0,Low
Arunachal Pradesh,East Siang,Rice,Total,0.15,0.28,1856.0,Medium
Maharashtra,Nashik,Nutri/Coarse Cereals,Kharif,3.65,13.07,3585.0,Low
Punjab,Jalandhar,Total Food Grains,Kharif,1.8,8.08,4492.0,Low
Himachal Pradesh,Mandi,Maize,Kharif,0.44,1.35,3068.0,Low
Telangana,Kamareddy,Urad,Total,0.02,0.03,1264.0,Medium
Telangana,Mancherial,Rice,Rabi,0.47,1.55,3278.0,Low
Maharashtra,Nandurbar,Shree Anna /Nutri Cereals,Rabi,0.06,0.07,1246.0,Medium
Bihar,Madhepura,Maize,Rabi,0.19,1.6,8326.0,Low
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Cereals,Kharif,0.64,2.05,3210.0,Low
Jharkhand,East Singhbum,Lentil,Total,0.03,0.02,830.0,High
Telangana,Nagarkurnool,Tur,Total,0.03,0.02,736.0,High
Jharkhand,Bokaro,Other Pulses,Total,0.05,0.05,1122.0,Medium
Maharashtra,Nandurbar,Total Pulses,Total,0.52,0.36,686.0,High
Bihar,Katihar,Maize,Rabi,0.48,3.93,8201.0,Low
Bihar,Kaimur (Bhabua),Moong,Total,0.0,0.0,655.0,High
Andhra Pradesh,Visakhapatanam,Nutri/Coarse Cereals,Kharif,0.0,0.01,2450.0,Low
Karnataka,Gadag,Tur,Total,0.01,0.0,768.0,High
Madhya Pradesh,Bhopal,Total Food Grains,Total,1.56,4.54,2907.0,Low
Andhra Pradesh,Kurnool,Bajra,Summer,0.0,0.01,2215.0,Low
Maharashtra,Beed,Cereals,Rabi,2.32,2.9,1247.0,Medium
Arunachal Pradesh,Kurung Kumey,Cereals,Kharif,0.01,0.02,1734.0,Medium
Maharashtra,Yavatmal,Wheat,Total,0.59,0.68,1162.0,Medium
Madhya Pradesh,Tikamgarh,Total Food Grains,Rabi,1.73,4.61,2662.0,Low
Karnataka,Bengaluru Rural,Other Pulses,Kharif,0.01,0.01,867.0,High
Karnataka,Kolar,Total Food Grains,Rabi,0.1,0.12,1258.0,Medium
Jharkhand,Dumka,Jowar,Total,0.0,0.0,560.0,High
Maharashtra,Osmanabad,Jowar,Kharif,0.01,0.01,865.0,High
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Urad,Total,0.01,0.0,408.0,High
Rajasthan,Dholpur,Urad,Kharif,0.0,0.0,365.0,High
Uttarakhand,Dehradun,Small Millets,Total,0.0,0.0,1002.0,Medium
Telangana,Mancherial,Rice,Total,1.05,3.4,3229.0,Low
Uttarakhand,Chamoli,Small Millets,Total,0.06,0.09,1617.0,Medium
Madhya Pradesh,East Nimar,Cereals,Rabi,1.47,3.94,2677.0,Low
Himachal Pradesh,Kullu,Lentil,Rabi,0.0,0.0,1052.0,Medium
Bihar,Patna,Nutri/Coarse Cereals,Total,0.05,0.19,3591.0,Low
Uttarakhand,Pithoragarh,Total Food Grains,Kharif,0.31,0.44,1430.0,Medium
Madhya Pradesh,Singrauli,Rice,Kharif,0.91,2.39,2617.0,Low
Andhra Pradesh,Kurnool,Bajra,Total,0.07,0.16,2343.0,Low
Madhya Pradesh,Hoshangabad,Nutri/Coarse Cereals,Kharif,0.47,1.02,2147.0,Low
Rajasthan,Balotra,Barley,Total,0.0,0.0,3711.0,Low
Telangana,Nalgonda,Other Pulses,Kharif,0.0,0.0,782.0,High
Maharashtra,Wardha,Gram,Rabi,0.91,1.12,1237.0,Medium
Uttarakhand,Bageshwar,Urad,Total,0.0,0.0,1145.0,Medium
Madhya Pradesh,Neemuch,Other Pulses,Total,0.0,0.0,1071.0,Medium
Rajasthan,Kota,Maize,Total,0.02,0.06,2552.0,Low
Punjab,Sangrur,Moong,Summer,0.01,0.01,1250.0,Medium
Karnataka,Udupi,Total Pulses,Total,0.01,0.0,466.0,High
Jharkhand,Hazaribagh,Other Pulses,Total,0.06,0.05,853.0,High
Karnataka,Chamarajanagara,Small Millets,Total,0.0,0.0,1306.0,Medium
Arunachal Pradesh,Lower Siang,Moong,Kharif,0.0,0.0,1081.0,Medium
Maharashtra,Nagpur,Jowar,Rabi,0.0,0.0,464.0,High
Madhya Pradesh,Guna,Total Food Grains,Total,4.7,13.87,2951.0,Low
Madhya Pradesh,Hoshangabad,Cereals,Summer,0.0,0.02,3533.0,Low
Arunachal Pradesh,Papum Pare,Maize,Total,0.03,0.05,1786.0,Medium
Jharkhand,Deoghar,Maize,Total,0.17,0.49,2843.0,Low
Rajasthan,Jaipur,Tur,Total,0.0,0.0,500.0,High
Jharkhand,Ranchi,Nutri/Coarse Cereals,Total,0.17,0.38,2273.0,Low
Karnataka,Chitradurga,Nutri/Coarse Cereals,Total,1.98,5.06,2550.0,Low
Telangana,Khammam,Other Pulses,Total,0.0,0.0,655.0,High
Madhya Pradesh,Shahdol,Barley,Total,0.0,0.0,1099.0,Medium
Telangana,Mahabubabad,Bajra,Kharif,0.0,0.0,1000.0,Medium
Rajasthan,Deeg,Shree Anna /Nutri Cereals,Total,1.03,1.68,1627.0,Medium
Maharashtra,Gadchiroli,Total Food Grains,Rabi,0.33,0.59,1809.0,Medium
Bihar,Muzaffarpur,Nutri/Coarse Cereals,Total,0.3,1.14,3738.0,Low
Rajasthan,Kota,Gram,Rabi,0.41,0.63,1560.0,Medium
Jharkhand,Ramgarh,Cereals,Kharif,0.39,0.66,1706.0,Medium
Jharkhand,Chatra,Lentil,Rabi,0.03,0.02,715.0,High
Madhya Pradesh,Shahdol,Lentil,Rabi,0.0,0.0,570.0,High
Uttarakhand,Rudra Prayag,Rice,Total,0.07,0.12,1613.0,Medium
Bihar,Madhepura,Cereals,Kharif,0.75,1.73,2317.0,Low
Madhya Pradesh,Damoh,Rice,Total,0.84,2.31,2750.0,Low
Karnataka,Yadgir,Tur,Total,0.94,0.75,794.0,High
Jharkhand,Chatra,Cereals,Total,0.53,1.22,2279.0,Low
Rajasthan,Jaisalmer,Jowar,Kharif,0.01,0.0,811.0,High
Bihar,Supaul,Tur,Total,0.0,0.0,1558.0,Medium
Arunachal Pradesh,Lohit,Maize,Total,0.05,0.06,1270.0,Medium
Madhya Pradesh,Mandsaur,Rice,Kharif,0.01,0.0,592.0,High
Jharkhand,Lohardaga,Cereals,Rabi,0.05,0.14,2699.0,Low
Andhra Pradesh,Ntr,Total Food Grains,Total,0.93,3.32,3560.0,Low
Arunachal Pradesh,Leparada,Urad,Total,0.0,0.0,971.0,Medium
Madhya Pradesh,Hoshangabad,Maize,Rabi,0.01,0.03,3947.0,Low
Uttarakhand,Pithoragarh,Rice,Total,0.14,0.21,1479.0,Medium
Telangana,Narayanpet,Shree Anna /Nutri Cereals,Rabi,0.01,0.01,907.0,Medium
Bihar,Nawada,Barley,Total,0.0,0.0,1391.0,Medium
Uttarakhand,Almora,Shree Anna /Nutri Cereals,Total,0.3,0.36,1210.0,Medium
Madhya Pradesh,Hoshangabad,Wheat,Rabi,2.06,8.0,3889.0,Low
Rajasthan,Pali,Barley,Total,0.06,0.22,3711.0,Low
Madhya Pradesh,Sheopur,Other Pulses,Total,0.0,0.0,1318.0,Medium
